Issue Date,Applied Date,Permit Type,Property Class,Permit Class,Work Class,Status Current,Total Job Valuation,Housing Units,Number Of Floors,Council District,Original Zip,Latitude,Longitude,Contractor Company Name,Fiscal Year Issued,Calendar Year Issued,Has Valuation
2020-09-27,2020-07-02,Electrical Permit,Commercial,C-1001 Commercial Finish Out,Remodel,Final,,0.0,4.0,7,78758.0,30.40819461,-97.70425711,Austin Electric Service,2020,2020,No
2020-09-01,2020-08-31,Electrical Permit,Residential,Residential,Repair,Final,,1.0,1.0,7,78660.0,30.43624022,-97.65108455,"Ies Residential, Inc.",2020,2020,No
2020-09-03,2020-08-31,Mechanical Permit,Residential,Residential,Change Out,Final,,,,10,78703.0,30.29419165,-97.76118187,"Sa&H Western Holdings, Llc",2020,2020,No
2020-08-28,2020-01-28,Plumbing Permit,Commercial,C-1000 Commercial Remodel,Remodel,Expired,,0.0,1.0,5,78745.0,30.22932841,-97.80150829,,2020,2020,No
2020-08-31,2020-08-27,Electrical Permit,Residential,Residential,Repair,Final,,1.0,1.0,1,78653.0,,,Bolder Electric Solutions,2020,2020,No
2020-09-17,2020-06-26,Building Permit,Residential,R- 329 Res Structures Other Than Bldg,New,Final,1.0,0.0,0.0,8,78746.0,30.28614089,-97.79203519,"Michael Deane Homes, Inc.",2020,2020,Yes
2020-09-04,2020-09-02,Mechanical Permit,Residential,Residential,Change Out,Final,,,,8,78735.0,30.25139594,-97.83903981,,2020,2020,No
2020-09-28,2020-09-25,Electrical Permit,Residential,Residential,Repair,Final,,1.0,1.0,5,78745.0,30.22536423,-97.79062875,Wieco Electric,2020,2020,No
2020-09-16,2020-02-27,Plumbing Permit,Commercial,C-1000 Commercial Remodel,Remodel,Final,,1.0,1.0,9,78701.0,30.27405126,-97.74289951,Demoss Plumbing Inc,2020,2020,No
2020-09-30,2020-07-29,Plumbing Permit,Residential,R- 434 Addition & Alterations,Addition and Remodel,Final,,1.0,2.0,10,78731.0,30.31635355,-97.76885555,Austin Select Plumbing,2020,2020,No
2020-09-14,2020-07-31,Building Permit,Residential,R- 645 Demolition One Family Homes,Demolition,Final,0.0,1.0,1.0,5,78704.0,30.25215938,-97.77001241,Dar Demolition,2020,2020,No
2020-09-04,2020-08-28,Electrical Permit,Commercial,Commercial,Repair,Expired,,1.0,1.0,9,78701.0,30.28160891,-97.74492765,,2020,2020,No
2020-09-04,2020-03-03,Plumbing Permit,Residential,R- 435 Renovations/Remodel,Repair,Expired,,1.0,1.0,4,78723.0,30.30530902,-97.68343567,"Red Kings Plumbing Contractors Llc,",2020,2020,No
2020-09-28,2020-09-23,Building Permit,Commercial,C-1000 Commercial Remodel,Remodel,Expired,,1.0,1.0,3,78741.0,30.23256094,-97.73196691,Arc Group Usa,2020,2020,No
2020-09-25,2020-07-06,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,2,78744.0,30.14724066,-97.71727561,,2020,2020,No
2020-09-14,2020-02-26,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,2,78744.0,30.14650926,-97.71661186,,2020,2020,No
2020-09-28,2020-06-01,Plumbing Permit,Commercial,C-1000 Commercial Remodel,Remodel,Final,,6.0,2.0,2,78744.0,30.1996283,-97.73520938,Flint & Associates Llc,2020,2020,No
2020-09-28,2020-08-24,Building Permit,Residential,R- 101 Single Family Houses,New,Final,168045.0,1.0,1.0,1,78754.0,30.34954333,-97.60228555,Rsi Communities (Do Not Use),2020,2020,Yes
2020-09-30,2020-08-06,Building Permit,Residential,R- 434 Addition & Alterations,Addition and Remodel,Final,10000.0,1.0,1.0,2,78744.0,30.19332037,-97.74573207,Market Properties Lp.,2020,2020,Yes
2020-09-15,2020-06-17,Mechanical Permit,Commercial,C-1000 Commercial Remodel,Remodel,Final,,1.0,1.0,2,78748.0,30.16924178,-97.78869324,Braun Air Llc,2020,2020,No
2020-09-29,2020-02-12,Building Permit,Commercial,C- 105 Five or More Family Bldgs,New,Final,25000000.0,50.0,4.0,1,78753.0,30.39691534,-97.67091403,"Embrey Builders, Llc",2020,2020,Yes
2020-09-08,2020-09-05,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,7,78757.0,30.33902916,-97.73005039,,2020,2020,No
2020-09-29,2020-09-04,Building Permit,Residential,R- 435 Renovations/Remodel,Repair,Final,397.0,1.0,1.0,10,78731.0,30.36817657,-97.76561887,"Trinity Exterior Group, Lp *Main*",2020,2020,Yes
2020-09-17,2020-09-16,Plumbing Permit,Residential,Residential,New,Final,,1.0,0.0,Unknown,78617.0,30.16426975,-97.63430829,Victory Plumbing Company,2020,2020,No
2020-09-15,2018-10-03,Mechanical Permit,Commercial,C-1001 Commercial Finish Out,Remodel,Final,,34.0,7.0,7,78758.0,30.39502398,-97.7187031,Encore Mechanical,2020,2020,No
2020-08-31,2020-05-27,Electrical Permit,Commercial,C-1000 Commercial Remodel,Remodel,Final,,1.0,1.0,7,78759.0,30.40659659,-97.72785138,Parker Electric,2020,2020,No
2020-09-21,2020-07-30,Plumbing Permit,Residential,R- 101 Single Family Houses,New,Final,,1.0,2.0,1,78723.0,30.29449625,-97.6738249,Excalibur Plumbing,2020,2020,No
2020-09-23,2020-07-20,Building Permit,Residential,R- 434 Addition & Alterations,Addition and Remodel,Final,1.0,1.0,2.0,7,78757.0,30.34147375,-97.75206681,Pura Vida Designs Llc,2020,2020,Yes
2020-09-10,2020-09-09,Mechanical Permit,Residential,Residential,Change Out,Final,,,,10,78731.0,30.32646716,-97.75654229,Service Wizard Llc,2020,2020,No
2020-09-16,2020-08-26,Building Permit,Residential,R- 101 Single Family Houses,New,Final,201000.0,1.0,2.0,2,78744.0,30.15500464,-97.71766995,Brookfield Residential Texas Homes Llc,2020,2020,Yes
2020-09-16,2020-07-14,Mechanical Permit,Residential,Residential,Repair,Final,,0.0,0.0,9,78705.0,30.29579029,-97.72812647,"Cg Heating And Cooling, Llc",2020,2020,No
2020-09-25,2020-07-01,Electrical Permit,Residential,R- 101 Single Family Houses,New,Final,,1.0,3.0,3,78702.0,30.25289749,-97.72833968,Aei Electric Llc,2020,2020,No
2020-09-02,2020-07-17,Plumbing Permit,Residential,Residential,Repair,Final,,1.0,1.0,3,78704.0,30.23244917,-97.76431173,Tk Plumbing Llc,2020,2020,No
2020-09-25,2020-07-06,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,7,78757.0,,,,2020,2020,No
2020-09-15,2020-09-14,Plumbing Permit,Residential,Residential,Change Out,Final,,,,5,78748.0,30.16920601,-97.81903302,,2020,2020,No
2020-09-11,2020-09-10,Building Permit,Residential,R- 435 Renovations/Remodel,Repair,Final,800.0,1.0,1.0,2,78745.0,30.20659098,-97.79549578,Suttin Construction,2020,2020,Yes
2020-08-28,2020-06-08,Electrical Permit,Residential,R- 329 Res Structures Other Than Bldg,New,Final,,1.0,1.0,1,78702.0,30.2789469,-97.70615476,D.A.S Electric,2020,2020,No
2020-09-24,2020-03-19,Mechanical Permit,Commercial,C-1000 Commercial Remodel,Remodel,Final,,1.0,1.0,4,78753.0,,,Pro Refrigeration Llc,2020,2020,No
2020-09-25,2020-07-29,Electrical Permit,Residential,R- 101 Single Family Houses,New,Final,,1.0,2.0,1,78653.0,,,,2020,2020,No
2020-08-31,2020-08-28,Electrical Permit,Residential,Residential,Repair,Final,,1.0,1.0,1,78653.0,,,"Austin Lanehart Electric Co., Inc.",2020,2020,No
2020-08-27,2020-08-21,Building Permit,Commercial,C-1000 Commercial Remodel,Remodel,Final,,1.0,1.0,7,78758.0,,,Reliable Roofing Of Texas Inc,2020,2020,No
2020-09-14,2020-04-30,Mechanical Permit,Commercial,C-1000 Commercial Remodel,Remodel,Final,,1.0,1.0,8,78735.0,30.2437569,-97.86237684,Higher Standard Air Services Llc,2020,2020,No
2020-09-03,2020-09-03,Plumbing Permit,Commercial,Commercial,New,Final,,1.0,1.0,Unknown,78681.0,30.47547233,-97.68795402,6B Plumbing,2020,2020,No
2020-09-15,2020-09-15,Mechanical Permit,Residential,Residential,Change Out,Final,,,,7,78756.0,30.3166149,-97.742188,"Faught Service Company, Inc.",2020,2020,No
2020-09-04,2020-09-02,Mechanical Permit,Residential,Residential,Change Out,Final,,,,5,78748.0,30.16001589,-97.81406262,Alamo Austin Air Conditioning & Heating Inc,2020,2020,No
2020-09-28,2020-09-02,Driveway / Sidewalks,Residential,Res. Driveway,Modification,Expired,,,,10,78730.0,30.358077,-97.80226746,,2020,2020,No
2020-09-25,2020-07-08,Electrical Permit,Residential,R- 329 Res Structures Other Than Bldg,New,Final,,1.0,0.0,8,78739.0,30.17438594,-97.91400183,Generation Next Electric,2020,2020,No
2020-08-31,2020-08-28,Electrical Permit,Residential,Residential,Repair,Final,,1.0,1.0,2,78744.0,30.15897342,-97.72360129,"In Charge Electrical Services, Llc",2020,2020,No
2020-08-28,2020-08-27,Electrical Permit,Commercial,Commercial,Repair,Final,,1.0,1.0,9,78705.0,30.29067402,-97.72674331,Parker Electric,2020,2020,No
2020-09-11,2020-07-13,Plumbing Permit,Residential,R- 101 Single Family Houses,New,Final,,1.0,2.0,1,78724.0,30.29482917,-97.6428628,Victory Plumbing Company,2020,2020,No
2020-09-08,2020-07-01,Mechanical Permit,Residential,R- 101 Single Family Houses,New,Final,,1.0,1.0,2,78747.0,30.1346423,-97.76730002,,2020,2020,No
2020-09-10,2020-09-09,Mechanical Permit,Residential,Residential,Change Out,Expired,,,,7,78727.0,30.42193251,-97.72121659,Bunten A/C Service,2020,2020,No
2020-09-23,2020-08-26,Building Permit,Residential,R- 101 Single Family Houses,New,Final,1.0,1.0,2.0,2,78744.0,30.15507908,-97.7172755,Brookfield Residential Texas Homes Llc,2020,2020,Yes
2020-09-22,2020-01-31,Building Permit,Residential,R- 101 Single Family Houses,New,Final,1.0,1.0,2.0,1,78702.0,30.2753296,-97.71391849,"Williams Austin, Inc.",2020,2020,Yes
2020-09-25,2018-09-13,Mechanical Permit,Commercial,C-1001 Commercial Finish Out,Remodel,Final,,1.0,1.0,1,78702.0,30.2711754,-97.73181677,City Wide Mechanical Inc.,2020,2020,No
2020-09-17,2020-04-20,Driveway / Sidewalks,Residential,Res. Driveway & Sidewalk,New,Final,,,,2,78747.0,30.15527971,-97.75740327,Homes By Avi (Texas) Lp,2020,2020,No
2020-09-23,2020-07-01,Electrical Permit,Residential,R- 101 Single Family Houses,New,Final,,1.0,3.0,3,78704.0,,,"Ies Residential, Inc.",2020,2020,No
